Licenses,Regex
0BSD," ""licen[cs]e(id|[- ]identifier| name)?[: ](0BSD|(.{1,32} (AND|OR)){1,4} 0BSD)"""
Abstyles," ""licen[cs]e(id|[- ]identifier| name)?[: ](Abstyles|(.{1,32} (AND|OR)){1,4} Abstyles)"""
Adobe_Glyph," ""licen[cs]e(id|[- ]identifier| name)?[: ](Adobe-Glyph|(.{1,32} (AND|OR)){1,4} Adobe-Glyph)"""
Adobe_2006," ""licen[cs]e(id|[- ]identifier| name)?[: ](Adobe-2006|(.{1,32} (AND|OR)){1,4} Adobe-2006)"""
ADSL," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<ADSL\>|(.{1,32} (AND|OR)){1,4} \<ADSL\>)"""
AFL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](AFL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} AFL[- ]1\.?1)"""
AFL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](AFL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} AFL[- ]1\.?2)"""
AFL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](AFL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} AFL[- ]2\.?0)"""
AFL_21," ""licen[cs]e(id|[- ]identifier| name)?[: ](AFL[- ]2\.?1|(.{1,32} (AND|OR)){1,4} AFL[- ]2\.?1)"""
AFL_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](AFL[- ]3\.?0|(.{1,32} (AND|OR)){1,4} AFL[- ]3\.?0)"""
Afmparse," ""licen[cs]e(id|[- ]identifier| name)?[: ](Afmparse|(.{1,32} (AND|OR)){1,4} Afmparse)"""
AGPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](AGPL[- ]1\.?0(-only)?|(.{1,32} (AND|OR)){1,4} AGPL[- ]1\.?0(-only)?)"""
AGPL_10_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](AGPL[- v]1(\.?0)?.or.later|(.{1,32} (AND|OR)){1,4} AGPL[- v]1(\.?0)?.or.later)"""
AGPL_10plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(AGPL[- v]1\.?0\+|(.{1,32} (AND|OR)){1,4} AGPL[- v]1\.?0\+)"""
AGPL_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](AGPL[- v]3(-only)?|(.{1,32} (AND|OR)){1,4} AGPL[- v]3(-only)?)"""
AGPL_30_or_later," ""licen[cs]e(id|[- ]identifier| name)?[: ](AGPL[- v]3(\.?0)?.or.later|(.{1,32} (AND|OR)){1,4} AGPL[- v]3(\.?0)?.or.later)"""
AGPL_30plus," ""licen[cs]e(id|[- ]identifier)?[\[\""\(:[:space:]]+(AGPL[- v]3\.?0\+|(.{1,32} (AND|OR)){1,4} AGPL[- v]3\.?0\+)"""
Aladdin," ""licen[cs]e(id|[- ]identifier| name)?[: ](Aladdin|(.{1,32} (AND|OR)){1,4} Aladdin)"""
AMDPLPA," ""licen[cs]e(id|[- ]identifier| name)?[: ](AMDPLPA|(.{1,32} (AND|OR)){1,4} AMDPLPA)"""
AML," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<AML\>|(.{1,32} (AND|OR)){1,4} \<AML\>)"""
AMPAS," ""licen[cs]e(id|[- ]identifier| name)?[: ](AMPAS|(.{1,32} (AND|OR)){1,4} AMPAS)"""
ANTLR_PD," ""licen[cs]e(id|[- ]identifier| name)?[: ](ANTLR-PD|(.{1,32} (AND|OR)){1,4} ANTLR-PD)"""
Apache," ""licen[cs]e(id|[- ]identifier| name)?[: ](Apache\>|(.{1,32} (AND|OR)){1,4} Apache\>)"""
Apache_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](Apache[- ]1\.?0|(.{1,32} (AND|OR)){1,4} Apache[- ]1\.?0)"""
Apache_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](Apache[- ]1\.?1|(.{1,32} (AND|OR)){1,4} Apache[- ]1\.?1)"""
Apache_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](Apache[- ]2\.?0?|(.{1,32} (AND|OR)){1,4} Apache[- ]2\.?0?)"""
APAFML," ""licen[cs]e(id|[- ]identifier| name)?[: ](APAFML|(.{1,32} (AND|OR)){1,4} APAFML)"""
APL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](APL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} APL[- ]1\.?0)"""
APSL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](APSL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} APSL[- ]1\.?0)"""
APSL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](APSL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} APSL[- ]1\.?1)"""
APSL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](APSL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} APSL[- ]1\.?2)"""
APSL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](APSL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} APSL[- ]2\.?0)"""
Artistic_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](Artistic[- ]1\.?0|(.{1,32} (AND|OR)){1,4} Artistic[- ]1\.?0)"""
Artistic_10_Perl," ""licen[cs]e(id|[- ]identifier| name)?[: ](Artistic[- ]1\.?0-Perl|(.{1,32} (AND|OR)){1,4} Artistic[- ]1\.?0-Perl)"""
